"Diseases & Risk Factors","Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2012","Nepal","South-East Asia Region","Males","","39.2","34.7","43.8","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2012","Nepal","South-East Asia Region","Females","","34","29.9","38.2","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2013","Nepal","South-East Asia Region","Total","","36.3","33.4","39.3","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2013","Nepal","South-East Asia Region","Males","","39.3","35","43.6","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2013","Nepal","South-East Asia Region","Females","","34","30","38.1","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2014","Nepal","South-East Asia Region","Total","","36.2","33.4","39.1","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2014","Nepal","South-East Asia Region","Males","","39.3","35","43.6","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2014","Nepal","South-East Asia Region","Females","","34","30.2","38","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2015","Nepal","South-East Asia Region","Total","","36.1","33.3","39","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2015","Nepal","South-East Asia Region","Males","","39.3","35","43.6","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2015","Nepal","South-East Asia Region","Females","","34","30.1","38","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2016","Nepal","South-East Asia Region","Total","","36.1","33.1","39.1","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2016","Nepal","South-East Asia Region","Males","","39.4","34.8","43.9","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2016","Nepal","South-East Asia Region","Females","","34","30","38.2","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2017","Nepal","South-East Asia Region","Total","","36.1","32.9","39.4","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2017","Nepal","South-East Asia Region","Males","","39.5","34.6","44.4","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2017","Nepal","South-East Asia Region","Females","","34","29.6","38.6","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2018","Nepal","South-East Asia Region","Total","","36.1","32.5","39.8","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2018","Nepal","South-East Asia Region","Males","","39.5","34.2","45.1","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2018","Nepal","South-East Asia Region","Females","","33.9","29.1","39.1","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2019","Nepal","South-East Asia Region","Total","","36.1","32","40.3","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2019","Nepal","South-East Asia Region","Males","","39.6","33.6","45.9","",
"Noncommunicable diseases","Hypertension, adults aged 30–79","","2019","Nepal","South-East Asia Region","Females","","33.9","28.4","39.8","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Total","","18.5","13.8","23.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Males","","16.2","10.3","23.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Females","","21","14","28.9","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Total","","19","14.3","24.1","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Males","","16.6","10.8","23.6","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Females","","21.5","14.5","29.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Total","","19.5","14.9","24.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Males","","17.1","11.4","24","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Females","","22","15","30","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Total","","20","15.5","24.8","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Males","","17.6","12","24.3","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Females","","22.6","15.6","30.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Total","","20.5","16.1","25.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Males","","18.2","12.6","24.6","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Females","","23.2","16.3","31.1","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Total","","21.1","16.7","25.8","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Males","","18.8","13.2","25","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Females","","23.8","17","31.6","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Total","","21.8","17.5","26.3","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Males","","19.4","14","25.5","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Females","","24.5","17.8","32.2","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Total","","22.5","18.2","26.9","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Males","","20","14.7","26","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Females","","25.2","18.6","32.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Total","","23.2","19","27.5","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Males","","20.7","15.5","26.6","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Females","","26","19.5","33.2","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Total","","24","19.9","28.2","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Males","","21.5","16.4","27.1","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Females","","26.8","20.5","33.8","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Total","","24.8","20.9","29","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Males","","22.3","17.3","27.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Females","","27.6","21.5","34.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Total","","25.7","21.9","29.9","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Males","","23.1","18.2","28.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Females","","28.5","22.5","35.1","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Total","","26.7","22.9","30.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Males","","24","19.1","29.2","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Females","","29.4","23.5","35.8","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Total","","27.6","23.9","31.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Males","","24.9","20","30.1","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Females","","30.3","24.4","36.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Total","","28.6","24.8","32.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Males","","25.8","20.8","31.2","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Females","","31.2","25.4","37.5","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Total","","29.6","25.7","33.9","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Males","","26.7","21.5","32.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Females","","32.1","26.2","38.5","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Total","","30.6","26.4","35","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Males","","27.7","22.1","33.6","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Females","","33","26.7","39.6","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Total","","31.5","26.8","36.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Males","","28.5","22.6","35.1","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Females","","33.9","26.9","41.1","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2018","Nepal","South-East Asia Region","Total","","32.3","27.1","37.9","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2018","Nepal","South-East Asia Region","Males","","29.4","22.9","36.7","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2018","Nepal","South-East Asia Region","Females","","34.7","26.9","43.1","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2019","Nepal","South-East Asia Region","Total","","33.2","27.2","39.4","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2019","Nepal","South-East Asia Region","Males","","30.3","22.8","38.6","",
"Noncommunicable diseases","Diagnosed hypertension, adults aged 30–79 with hypertension","","2019","Nepal","South-East Asia Region","Females","","35.5","26.5","45.1","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Total","","9.9","6.3","14.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Males","","8.3","4.3","13.9","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Females","","11.6","6","18.9","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Total","","10.4","6.8","14.7","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Males","","8.6","4.6","14","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Females","","12.2","6.6","19.2","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Total","","10.8","7.3","15","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Males","","9","5","14.1","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Females","","12.8","7.2","19.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Total","","11.3","7.9","15.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Males","","9.4","5.5","14.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Females","","13.5","8","20.3","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Total","","11.9","8.5","15.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Males","","9.8","5.9","14.7","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Females","","14.2","8.7","20.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Total","","12.4","9","16.2","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Males","","10.2","6.4","14.9","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Females","","14.8","9.4","21.3","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Total","","12.9","9.6","16.6","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Males","","10.6","7","15.1","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Females","","15.5","10.2","21.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Total","","13.4","10.2","17","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Males","","11.1","7.4","15.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Females","","16.1","11","22.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Total","","13.9","10.8","17.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Males","","11.5","7.9","15.7","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Females","","16.7","11.6","22.7","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Total","","14.4","11.3","17.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Males","","11.9","8.4","15.9","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Females","","17.2","12.2","23","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Total","","14.9","11.8","18.2","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Males","","12.3","8.9","16.3","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Females","","17.7","12.9","23.3","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Total","","15.3","12.4","18.5","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Males","","12.7","9.4","16.6","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Females","","18.2","13.5","23.6","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Total","","15.8","12.9","18.9","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Males","","13.1","9.8","16.9","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Females","","18.6","14.1","23.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Total","","16.3","13.5","19.3","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Males","","13.5","10.3","17.3","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Females","","19","14.6","24","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Total","","16.7","13.9","19.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Males","","13.9","10.6","17.7","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Females","","19.4","14.9","24.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Total","","17.2","14.3","20.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Males","","14.3","11","18.1","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Females","","19.8","15.3","24.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Total","","17.6","14.5","20.9","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Males","","14.7","11.2","18.8","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Females","","20.2","15.5","25.5","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Total","","18","14.7","21.7","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Males","","15.1","11.2","19.5","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Females","","20.5","15.6","26.2","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2018","Nepal","South-East Asia Region","Total","","18.4","14.7","22.5","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2018","Nepal","South-East Asia Region","Males","","15.5","11.2","20.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2018","Nepal","South-East Asia Region","Females","","20.9","15.3","27.2","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2019","Nepal","South-East Asia Region","Total","","18.7","14.6","23.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2019","Nepal","South-East Asia Region","Males","","15.9","11","21.4","",
"Noncommunicable diseases","Treated hypertension, adults aged 30–79 with hypertension","","2019","Nepal","South-East Asia Region","Females","","21.2","15","28.3","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Total","","2.1","1","3.9","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Males","","1.7","0.5","3.9","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2000","Nepal","South-East Asia Region","Females","","2.5","0.8","5.6","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Total","","2.2","1.1","4","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Males","","1.8","0.6","3.9","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2001","Nepal","South-East Asia Region","Females","","2.7","1","5.7","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Total","","2.4","1.2","4.1","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Males","","1.9","0.7","4","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2002","Nepal","South-East Asia Region","Females","","2.9","1.1","5.9","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Total","","2.5","1.4","4.3","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Males","","2","0.8","4","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2003","Nepal","South-East Asia Region","Females","","3.1","1.3","6.1","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Total","","2.7","1.5","4.4","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Males","","2.1","0.9","4.1","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2004","Nepal","South-East Asia Region","Females","","3.4","1.5","6.4","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Total","","2.9","1.7","4.6","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Males","","2.3","1","4.3","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2005","Nepal","South-East Asia Region","Females","","3.6","1.7","6.6","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Total","","3.1","1.9","4.8","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Males","","2.5","1.2","4.4","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2006","Nepal","South-East Asia Region","Females","","3.9","1.9","6.9","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Total","","3.4","2.1","5","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Males","","2.6","1.3","4.6","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2007","Nepal","South-East Asia Region","Females","","4.2","2.2","7.1","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Total","","3.6","2.3","5.2","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Males","","2.8","1.5","4.8","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2008","Nepal","South-East Asia Region","Females","","4.5","2.4","7.3","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Total","","3.8","2.6","5.4","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Males","","3","1.7","4.9","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2009","Nepal","South-East Asia Region","Females","","4.7","2.7","7.6","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Total","","4.1","2.8","5.7","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Males","","3.3","1.9","5.1","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2010","Nepal","South-East Asia Region","Females","","5","2.9","7.8","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Total","","4.3","3.1","5.9","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Males","","3.5","2.1","5.3","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2011","Nepal","South-East Asia Region","Females","","5.3","3.2","8","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Total","","4.6","3.4","6.2","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Males","","3.7","2.3","5.6","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2012","Nepal","South-East Asia Region","Females","","5.6","3.5","8.3","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Total","","4.9","3.6","6.5","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Males","","4","2.6","5.8","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2013","Nepal","South-East Asia Region","Females","","5.9","3.8","8.6","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Total","","5.3","3.9","6.8","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Males","","4.3","2.7","6.2","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2014","Nepal","South-East Asia Region","Females","","6.3","4.2","8.9","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Total","","5.6","4.2","7.2","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Males","","4.6","3","6.6","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2015","Nepal","South-East Asia Region","Females","","6.7","4.5","9.3","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Total","","6","4.4","7.8","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Males","","4.9","3.2","7.1","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2016","Nepal","South-East Asia Region","Females","","7.1","4.6","10","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Total","","6.4","4.6","8.4","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Males","","5.2","3.3","7.7","",
"Noncommunicable diseases","Controlled hypertension, adults aged 30–79 with hypertension","","2017","Nepal","South-East Asia Region","Females","","7.5","4.8","10.8","",
